id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
1,Belgium,Sabbe Karel,75,57:40:20,39:41,54:34,46:08,BE,M,30,,41:47,52:03,42:35,52:47,52:34,52:26,42:26,42:29,42:50,42:23,41:25,43:10,41:15,41:35,42:47,42:27,42:09,42:12,53:38,52:14,51:14,51:36,49:20,49:44,49:53,50:35,50:31,50:09,49:19,44:12,44:28,44:12,43:48,44:30,44:47,45:22,45:37,45:03,45:25,46:34,52:31,45:21,54:34,50:12,49:29,49:06,48:54,49:11,49:07,49:28,48:39,49:28,46:24,47:33,46:32,46:24,45:33,46:07,44:43,43:46,45:02,44:48,45:17,45:46,45:11,45:06,42:34,40:33,39:41,40:30,40:44,42:34,41:07,41:35,43:19,,,,,,,,,,,,,,,,,,,,,
2,Belgium,Geerts Merijn,74,58:42:57,38:09,54:40,47:36,BE,M,45,,44:29,44:34,46:06,47:40,46:33,45:39,46:22,44:21,41:20,40:15,39:54,42:15,45:29,45:33,42:59,48:26,47:11,44:54,39:28,47:09,40:06,46:25,45:57,47:26,44:53,45:09,44:54,43:41,44:05,50:40,38:09,51:17,49:18,47:38,51:51,49:37,47:12,51:45,50:43,49:23,51:33,51:38,47:02,47:21,44:22,47:04,48:40,50:00,49:34,50:59,48:39,48:41,49:16,49:56,48:54,52:37,50:30,49:39,44:52,48:56,50:27,49:30,51:39,52:06,49:48,47:37,52:25,51:24,46:44,51:01,49:31,52:24,52:42,54:40,Over,,,,,,,,,,,,,,,,,,,,,
3,United States,Courtney Dauwalter,68,56:51:53,44:03,55:13,50:10,USA,F,35,best perf 67 yards,52:28,52:20,53:08,52:51,53:13,52:06,52:30,52:36,55:13,53:41,53:33,44:03,47:40,50:10,48:57,49:04,50:32,48:13,49:46,51:37,50:50,48:30,49:25,48:16,54:16,52:17,52:30,54:00,52:52,51:46,51:06,51:58,51:48,53:03,52:34,48:15,49:44,48:19,49:47,49:09,49:06,50:37,50:37,46:57,46:47,47:21,47:56,45:19,50:34,52:51,52:38,52:06,51:13,52:18,51:44,52:08,51:29,51:48,52:26,45:50,46:23,46:45,45:41,46:06,45:07,44:56,45:01,46:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,Harvey Lewis,67,57:44:39,40:03,56:37,51:43,USA,M,44,best perf 58 yards,53:14,56:37,54:58,53:19,53:25,54:19,52:44,53:15,55:11,54:25,54:26,50:04,48:58,50:44,49:26,49:56,50:14,49:30,49:37,51:54,43:41,51:36,54:04,51:50,56:04,52:10,51:06,54:08,52:55,53:20,54:14,53:50,50:02,50:20,53:32,52:41,51:29,50:30,50:44,51:24,49:06,51:07,51:26,46:15,52:23,51:43,52:21,45:17,48:55,52:51,50:05,50:34,50:27,51:43,54:48,54:29,52:26,55:10,54:43,52:29,51:26,51:43,51:33,52:04,40:03,51:10,52:26,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mexico,Pedro Parra,64,52:32:46,39:06,57:31,49:16,Tarahumara Mexican,M,,,41:21,46:41,50:22,48:26,49:53,46:54,47:13,47:08,47:54,49:10,48:22,44:44,49:29,47:43,47:31,48:26,43:45,45:00,51:31,50:53,47:11,48:22,45:30,50:06,48:10,50:45,44:47,46:19,39:06,50:45,54:10,49:25,51:50,51:05,46:23,47:00,49:27,48:25,53:04,50:09,52:32,50:33,49:40,49:32,52:03,57:26,47:01,46:06,44:52,50:23,46:20,50:20,52:53,48:40,51:14,50:20,50:47,52:53,52:15,53:04,51:52,56:31,57:31,53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mexico,Miguel Lara Viniegra,63,50:51:56,39:10,58:45,48:27,Tarahumara Mexican,M,,"Winner of over 25Ultra Marathons. El Toro, ""The Bull of Porochi""",40:44,48:44,51:27,45:35,51:55,47:35,47:18,47:04,48:08,47:58,48:46,42:36,47:16,47:24,49:02,49:01,43:46,44:10,41:00,39:10,49:10,48:22,40:51,44:20,42:50,54:01,40:50,43:10,50:10,52:25,53:15,50:50,47:10,51:10,46:20,45:10,48:40,41:25,53:02,46:52,51:35,50:32,49:38,49:38,52:04,54:57,44:57,49:10,44:47,49:40,46:12,50:15,50:25,48:45,52:02,50:41,51:22,54:00,52:30,53:03,51:51,56:25,58:45,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mexico,Juan Contreras,61,50:00:24,39:40,57:28,49:11,Tarahumara Mexican,M,,Champion of several Ultramarathons ,41:30,50:44,50:48,50:00,51:55,49:54,50:25,49:02,49:24,49:03,49:43,42:35,45:52,47:34,47:30,48:40,43:22,43:48,46:29,46:01,48:05,48:50,40:50,39:40,43:00,47:40,44:20,46:15,39:57,51:59,52:05,48:20,51:40,50:10,46:27,46:30,49:27,48:24,52:20,46:51,51:46,50:34,51:42,49:40,53:04,57:28,52:02,53:57,49:02,54:26,52:10,53:18,52:45,48:35,51:40,50:47,53:10,53:59,53:06,54:30,55:34,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sweden,Torbjörn Gyllenbring,55,45:02:15,41:30,54:48,49:08,Sweden,M,39,Best perf 43 yards,50:48,49:35,52:52,49:25,49:00,48:53,49:42,49:43,48:51,48:59,47:09,49:32,47:50,45:43,46:34,46:39,48:01,47:30,46:19,42:29,53:45,53:16,46:37,50:52,49:19,48:58,54:48,47:56,50:05,51:31,52:31,51:39,52:09,45:59,50:00,49:52,51:36,51:12,51:39,50:41,46:31,47:22,47:15,46:36,46:39,49:22,46:09,48:29,51:28,47:27,50:18,50:44,51:16,51:10,41:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sweden,Anna Carlsson,54,42:19:59,40:21,54:53,47:02,Sweden,F,35,Best perf 45 yards,46:17,44:56,45:52,46:57,46:23,43:27,47:00,49:31,41:54,44:50,45:31,43:33,43:48,45:45,44:53,45:36,46:27,46:33,40:21,40:51,53:50,53:19,41:45,52:38,41:03,43:20,54:53,44:46,47:34,51:38,51:08,48:42,50:23,46:02,48:11,47:49,48:06,48:24,48:55,48:47,48:36,47:24,47:23,45:41,44:14,49:40,46:14,46:59,51:05,45:05,47:44,46:07,50:54,51:15,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Germany,Marina Kollassa,51,40:47:05,38:29,54:27,47:59,Germany,F,30,"best perf 31 yards, Winner of Schinder Backyard 2020",46:24,51:03,52:10,46:11,51:42,49:50,46:10,48:44,49:09,47:41,51:10,50:45,50:04,50:00,49:35,49:07,48:47,45:26,48:20,46:48,43:03,43:50,54:27,46:35,47:21,40:38,45:56,47:31,46:51,48:01,49:55,45:42,48:00,49:47,49:56,47:11,48:59,48:31,49:26,51:24,50:47,50:09,45:36,45:43,44:57,45:39,46:55,51:56,47:22,47:22,38:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
